Seed Set:
2 2 2
2 2 3
2 4 2
2 3 4
2 3 2
2 4 3
2 2 4
2 5 2
2 4 4
2 6 2
4 4 2
3 4 2
3 5 4
3 4 4
2 4 5
2 3 3
4 4 3
2 5 4
2 5 3
2 7 2
4 5 2
2 9 2
3 5 2
2 8 2
4 4 4
3 8 4
3 8 2
5 5 2
2 10 2
2 2 5
3 4 3
4 8 2
3 10 2
2 11 2
2 14 2
2 3 5
4 16 2
3 14 2
4 15 2
4 5 3
5 5 3
5 16 2
2 12 2
4 12 2
3 6 2
3 6 4
6 16 2
4 18 2
5 8 4
2 20 2
2 17 2
7 12 2
4 19 2
6 18 2
3 12 2
3 16 2
4 5 4
2 21 2
7 8 2
3 15 2
4 17 2
5 8 2
4 8 4
3 3 2
2 15 2
5 19 2
4 24 2
4 14 2
3 19 2
3 21 2
3 21 4
6 17 2
2 27 2
6 14 2
6 22 2
2 26 2
5 15 2
2 23 2
4 22 2
2 8 4
6 24 2
8 18 2
5 17 2
3 29 2
4 25 2
4 26 2
8 23 2
4 31 2
4 32 2
8 32 2
6 19 2
2 22 2
2 29 2
8 17 2
8 26 2
4 20 2
5 14 2
15 15 2
4 33 2
12 12 2
5 18 2
4 23 2
2 30 2
8 27 2
6 8 2
8 24 2
3 17 2
4 10 2
6 33 2
3 32 2
6 25 2
3 30 2
3 23 2
3 31 2
3 34 2
3 18 2
6 15 2
2 19 2
2 20 4
2 36 2
5 7 2
2 34 2
5 31 2
5 24 2
9 15 2
4 27 2
4 35 2
19 19 2
25 25 2
